CO-BRANCH;OFFICE;PRODUCT;GROUP;Jan-25;Feb-25;Mar-25;Apr-25;Mei-25;Jun-25;Jul-25;Agu-25;Sep-25;Okt-25;Nov-25;Des-25;Jan-26;Feb-26;Mar-26;Apr-26;Mei-26;Jun-26;Jul-26;Agu-26;Sep-26
351 - LAMPUNG;353 - KCP METRO LAMPUNG;Tabungan;CASA;9.298.867.302;8.643.178.427;8.498.124.089;8.500.097.464;8.774.476.114;7.882.601.558;8.837.509.589;8.867.091.174;7.483.003.194;6.876.247.768;6.299.798.803;6.513.559.231;6.433.081.411;5.205.424.460;5.024.453.573;5.736.611.613;5.706.992.699;5.371.291.589;5.589.995.294;4.857.158.831;6.009.646.505
351 - LAMPUNG;355 - KCP ZA PAGAR ALAM LAMPUNG;Deposito;TD;18.253.301.866;15.677.280.654;15.676.291.339;15.678.295.512;15.662.836.954;14.910.101.011;15.419.522.845;16.156.352.118;17.747.604.811;16.748.107.911;16.551.743.542;16.555.107.796;16.563.020.043;15.719.801.634;16.132.015.696;17.162.892.998;16.290.915.147;16.767.506.446;16.397.680.371;18.004.500.000;17.348.636.953
351 - LAMPUNG;355 - KCP ZA PAGAR ALAM LAMPUNG;Giro;CASA;1.872.835.361;1.694.402.191;1.663.950.915;1.685.490.584;1.706.405.747;1.358.528.885;178.499.687;198.048.310;28.396.916;548.383.312;563.661.273;528.443.762;543.716.474;16.993.058;29.229.540;42.781.094;951.308.443;12.417.390;22.736.086;0;33399965,33
351 - LAMPUNG;355 - KCP ZA PAGAR ALAM LAMPUNG;Tabungan;CASA;9.082.560.316;9.462.367.937;9.634.707.840;9.860.097.236;9.398.655.645;8.819.426.888;8.062.253.189;8.703.907.142;7.741.275.150;7.862.017.158;8.792.583.117;8.364.571.981;9.070.338.556;8.484.514.260;9.577.654.775;9.272.571.970;8.906.053.277;7.822.148.622;8.458.754.834;23.444.602.989;9.185.750.405
351 - LAMPUNG;356 - KCP KOTABUMI LAMPUNG;Deposito;TD;3.900.000.000;3.900.000.000;3.900.000.000;3.900.000.000;3.900.000.000;3.600.000.000;2.650.000.000;2.650.000.000;2.650.000.000;3.350.000.000;3.350.000.000;3.950.000.000;3.950.000.000;3.950.000.000;3.950.000.000;3.700.000.000;3.600.000.000;4.800.000.000;6.350.000.000;11.070.130.206;6.654.559.786
351 - LAMPUNG;356 - KCP KOTABUMI LAMPUNG;Giro;CASA;7499265;6456765;3402765;3360265;4310265;4272765;4235265;4195265;115000;95000;75000;55000;35000;15000;0;0;0;0;0;0;0
351 - LAMPUNG;356 - KCP KOTABUMI LAMPUNG;Tabungan;CASA;11.656.449.617;11.702.174.065;12.034.930.158;10.551.141.054;10.130.419.637;9.763.861.491;10.318.730.759;9.955.885.897;9.087.483.114;11.050.436.709;11.986.163.176;11.843.772.868;12.006.124.826;10.992.084.644;10.707.100.189;11.549.012.469;11.366.767.897;10.376.037.316;9.782.048.533;7.946.353.687;7.899.504.090
361 - PALEMBANG;361 - PALEMBANG;Deposito;TD;36.551.267.301;38.413.989.126;41.974.973.028;42.182.113.904;41.803.592.721;41.853.496.201;42.977.818.079;43.317.155.465;38.810.517.476;47.893.736.713;49.429.708.091;48.602.988.118;49.264.649.546;48.890.987.337;49.085.649.848;40.319.603.592;39.850.086.140;40.861.985.113;38.450.802.678;12.383.780.260;37.036.388.344
361 - PALEMBANG;361 - PALEMBANG;Giro;CASA;11.096;11.096;11.096;11.096;11.096;11.096;11.096;11.096;0;0;0;0;0;0;0;0;0;0;0;0;0
361 - PALEMBANG;361 - PALEMBANG;Tabungan;CASA;23.798.166.377;22.397.028.105;22.505.524.484;18.741.446.588;20.415.169.057;21.126.748.952;21.637.976.448;22.794.595.579;29.547.640.491;19.055.919.956;19.817.713.120;20.469.422.799;19.220.423.469;18.070.231.814;18.710.641.322;29.702.410.284;28.211.700.492;26.769.758.282;26.614.638.274;6.194.442.305;24.527.855.862
361 - PALEMBANG;366 - KCP PLAJU;Deposito;TD;16.055.911.197;17.369.411.465;16.657.385.585;17.388.485.698;18.134.571.421;18.038.284.491;17.700.132.022;17.744.658.643;18.055.065.963;18.458.513.748;18.293.590.822;18.907.637.611;18.864.293.773;18.266.998.927;18.301.887.848;19.824.560.045;20.599.326.579;20.727.790.275;20.904.282.234;3.565.000.000;20.813.770.392
361 - PALEMBANG;366 - KCP PLAJU;Giro;CASA;789.788.095;790.475.595;790.748.095;790.730.595;793.257.095;794.319.595;798.889.095;802.875.595;804319095;809521595;818974095;323854595;324687095;301390595;265949595;196975095;196957595;196940095;196922595;0;197872595
361 - PALEMBANG;366 - KCP PLAJU;Tabungan;CASA;23.118.897.176;22.151.840.384;21.807.991.060;20.779.880.673;21.752.552.430;21.326.239.572;20.645.340.925;20.269.997.784;20.285.825.597;20.117.059.743;20.757.028.880;20.662.716.555;21.046.133.155;21.519.366.117;20.926.010.937;21.617.577.263;20.724.583.975;19.809.343.610;21.145.017.563;7.658.335.542;21.253.209.349
361 - PALEMBANG;398 - KCP BATURAJA;Deposito;TD;18.136.500.000;18.142.500.000;18.945.000.000;18.646.500.000;18.499.500.000;17.545.000.000;16.520.500.000;14.517.500.000;12.867.000.000;12.870.800.000;12.870.800.000;12.881.050.000;12.381.050.000;12.181.050.000;13.281.050.000;12.982.657.435;11.851.183.198;11.256.050.000;9.756.050.000;4.864.186.636;9.455.050.000
361 - PALEMBANG;398 - KCP BATURAJA;Giro;CASA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
361 - PALEMBANG;398 - KCP BATURAJA;Tabungan;CASA;6.027.270.599;5.940.659.360;5.339.094.880;5.219.501.693;5.616.021.329;6.534.053.111;5.993.686.531;5.393.940.588;4.934.178.175;5.026.594.660;4.977.172.880;4.943.959.994;4.966.460.775;5.028.172.568;3.532.488.390;3.600.078.957;3.286.490.996;3.171.616.546;4.539.198.737;1.080.788.980;3.066.635.731
361 - PALEMBANG;401 - KCP ENIM;Deposito;TD;23.393.686.989;23.876.981.649;23.930.406.069;21.830.161.236;22.233.542.572;25.066.975.045;28.129.991.168;27.933.613.455;29.237.153.332;29.008.744.458;26.152.853.951;25.181.933.666;24.390.990.863;24.295.148.763;25.050.264.890;23.613.244.373;22.482.497.909;23.035.449.767;26.039.218.020;25.543.071.153;26.174.840.142
361 - PALEMBANG;401 - KCP ENIM;Giro;CASA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
361 - PALEMBANG;401 - KCP ENIM;Tabungan;CASA;8.469.986.073;8.206.313.298;8.136.133.922;12.123.620.293;10.301.024.169;9.998.964.816;9.242.544.938;8.738.079.459;7.503.811.695;8.018.445.986;8.649.820.446;8.854.699.323;8.399.416.477;7.647.335.170;7.188.436.778;6.563.115.292;6.288.515.340;6.433.884.969;6.640.711.758;7.277.073.820;6.748.369.180
371 - PANGKAL PINANG;371 - PANGKAL PINANG;Deposito;TD;42.191.776.395;41.468.767.074;35.032.929.654;32.835.635.572;36.736.948.143;37.313.964.219;38.714.786.092;39.346.336.598;39.249.548.169;39.025.437.058;41.100.427.526;41.703.128.028;40.959.467.567;39.709.804.477;39.370.052.121;39.482.904.099;38.423.238.773;38.323.499.975;44.321.331.107;44.035.933.401;43.835.933.401
371 - PANGKAL PINANG;371 - PANGKAL PINANG;Giro;CASA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
371 - PANGKAL PINANG;371 - PANGKAL PINANG;Tabungan;CASA;27.499.957.053;30.568.571.635;34.073.641.668;33.370.736.808;29.007.630.658;28.900.195.923;29.616.773.323;28.125.480.648;26.218.586.107;25.580.925.776;25.344.332.032;26.327.930.558;25.947.739.351;24.918.820.475;24.482.129.730;25.275.312.779;26.446.297.568;26.218.892.473;27.034.485.495;27.269.499.550;26.641.334.137
371 - PANGKAL PINANG;372 - KCP TANJUNG PANDAN;Deposito;TD;14.102.000.000;14.102.000.000;14.102.000.000;14.902.000.000;13.251.000.000;13.376.000.000;13.376.000.000;12.876.000.000;13.477.481.201;13.178.762.648;11.229.322.997;11.230.872.040;11.257.455.003;10.950.000.000;10.050.000.000;10.050.000.000;9.750.000.000;9.750.000.000;8.150.000.000;8.150.000.000;8.150.000.000
371 - PANGKAL PINANG;372 - KCP TANJUNG PANDAN;Giro;CASA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
